"Número";"Estado civil";"Grau de instrução";"N de filhos";"Salário";"Anos";"Meses";"Procedência"
1;"Solteiro";"Ensino fundamental";NA;4,00;26;03;"Interior"
2;"Casado";"Ensino fundamental";1;4,56;32;10;"Capital"
3;"Casado";"Ensino fundamental";2;5,25;36;05;"Capital"
4;"Solteiro";"Ensino médio";NA;5,73;20;10;"Outra"
5;"Solteiro";"Ensino fundamental";NA;6,26;40;07;"Outra"
6;"Casado";"Ensino fundamental";0;6,66;28;00;"Interior"
7;"Solteiro";"Ensino fundamental";NA;6,86;41;00;"Interior"
8;"Solteiro";"Ensino fundamental";NA;7,39;43;04;"Capital"
9;"Casado";"Ensino médio";1;7,59;34;10;"Capital"
10;"Solteiro";"Ensino médio";NA;7,44;23;06;"Outra"
11;"Casado";"Ensino médio";2;8,12;33;06;"Interior"
12;"Solteiro";"Ensino fundamental";NA;8,46;27;11;"Capital"
13;"Solteiro";"Ensino médio";NA;8,74;37;05;"Outra"
14;"Casado";"Ensino fundamental";3;8,95;44;02;"Outra"
15;"Casado";"Ensino médio";0;9,13;30;05;"Interior"
16;"Solteiro";"Ensino médio";NA;9,35;38;08;"Outra"
17;"Casado";"Ensino médio";1;9,77;31;07;"Capital"
18;"Casado";"Ensino fundamental";2;9,80;39;07;"Outra"
19;"Solteiro";"Superior";NA;10,53;25;08;"Interior"
20;"Solteiro";"Ensino médio";NA;10,76;37;04;"Interior"
21;"Casado";"Ensino médio";1;11,06;30;09;"Outra"
22;"Solteiro";"Ensino médio";NA;11,59;34;02;"Capital"
23;"Solteiro";"Ensino fundamental";NA;12,00;41;00;"Outra"
24;"Casado";"Superior";0;12,79;26;01;"Outra"
25;"Casado";"Ensino médio";2;13,23;32;05;"Interior"
26;"Casado";"Ensino médio";2;13,60;35;00;"Outra"
27;"Solteiro";"Ensino fundamental";NA;13,85;46;07;"Outra"
28;"Casado";"Ensino médio";0;14,69;29;08;"Interior"
29;"Casado";"Ensino médio";5;14,71;40;06;"Interior"
30;"Casado";"Ensino médio";2;15,99;35;10;"Capital"
31;"Solteiro";"Superior";NA;16,22;31;05;"Outra"
32;"Casado";"Ensino médio";1;16,61;36;04;"Interior"
33;"Casado";"Superior";3;17,26;43;07;"Capital"
34;"Solteiro";"Superior";NA;18,75;33;07;"Capital"
35;"Casado";"Ensino médio";2;19,40;48;11;"Capital"
36;"Casado";"Superior";3;23,30;42;02;"Interior"
